種番号,和名,学名,属,属（日本語）,科,科（日本語）,目,目（日本語）,亜種
565,イソヒヨドリ,Monticola solitarius,MONTICOLA,イソヒヨドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
565-1,アオハライソヒヨドリ,Monticola solitarius pandoo,MONTICOLA,イソヒヨドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
565-2,イソヒヨドリ,Monticola solitarius philippensis,MONTICOLA,イソヒヨドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
566,ヤマザキヒタキ,Saxicola ferreus,SAXICOLA,ノビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
567,マミジロノビタキ,Saxicola rubetra,SAXICOLA,ノビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
568,クロノビタキ,Saxicola caprata,SAXICOLA,ノビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
569,ノビタキ,Saxicola stejnegeri,SAXICOLA,ノビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
570,ハシグロヒタキ,Oenanthe oenanthe,OENANTHE,サバクヒタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
570-1,ハシグロヒタキ,Oenanthe oenanthe oenanthe,OENANTHE,サバクヒタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
571,イナバヒタキ,Oenanthe isabellina,OENANTHE,サバクヒタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
572,サバクヒタキ,Oenanthe deserti,OENANTHE,サバクヒタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
572-1,サバクヒタキ,Oenanthe deserti oreophila,OENANTHE,サバクヒタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
573,セグロサバクヒタキ,Oenanthe pleschanka,OENANTHE,サバクヒタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
574,カワガラス,Cinclus pallasii,CINCLUS,カワガラス属,CINCLIDAE,カワガラス科,PASSERIFORMES,スズメ目,種
574-1,カワガラス,Cinclus pallasii pallasii,CINCLUS,カワガラス属,CINCLIDAE,カワガラス科,PASSERIFORMES,スズメ目,亜種
575,ニュウナイスズメ,Passer cinnamomeus,PASSER,スズメ属,PASSERIDAE,スズメ科,PASSERIFORMES,スズメ目,種
575-1,ニュウナイスズメ,Passer cinnamomeus rutilans,PASSER,スズメ属,PASSERIDAE,スズメ科,PASSERIFORMES,スズメ目,亜種
576,スズメ,Passer montanus,PASSER,スズメ属,PASSERIDAE,スズメ科,PASSERIFORMES,スズメ目,種
576-1,スズメ,Passer montanus saturatus,PASSER,スズメ属,PASSERIDAE,スズメ科,PASSERIFORMES,スズメ目,亜種
577,イエスズメ,Passer domesticus,PASSER,スズメ属,PASSERIDAE,スズメ科,PASSERIFORMES,スズメ目,種
577-1,イエスズメ,Passer domesticus domesticus,PASSER,スズメ属,PASSERIDAE,スズメ科,PASSERIFORMES,スズメ目,亜種
578,イワヒバリ,Prunella collaris,PRUNELLA,カヤクグリ属,PRUNELLIDAE,イワヒバリ科,PASSERIFORMES,スズメ目,種
578-1,イワヒバリ,Prunella collaris erythropygia,PRUNELLA,カヤクグリ属,PRUNELLIDAE,イワヒバリ科,PASSERIFORMES,スズメ目,亜種
579,ヤマヒバリ,Prunella montanella,PRUNELLA,カヤクグリ属,PRUNELLIDAE,イワヒバリ科,PASSERIFORMES,スズメ目,種
580,カヤクグリ,Prunella rubida,PRUNELLA,カヤクグリ属,PRUNELLIDAE,イワヒバリ科,PASSERIFORMES,スズメ目,種
581,イワミセキレイ,Dendronanthus indicus,DENDRONANTHUS,イワミセキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
582,ニシツメナガセキレイ,Motacilla flava,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
582-1,ニシツメナガセキレイ（和名検討中）,Motacilla flava beema,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
583,ツメナガセキレイ,Motacilla tschutschensis,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
583-1,キタツメナガセキレイ,Motacilla tschutschensis macronyx,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
583-2,マミジロツメナガセキレイ,Motacilla tschutschensis tschutschensis,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
583-3,ツメナガセキレイ,Motacilla tschutschensis taivana,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
584,キガシラセキレイ,Motacilla citreola,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
584-1,キガシラセキレイ,Motacilla citreola citreola,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
584-2,セグロキガシラセキレイ,Motacilla citreola calcarata,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
